Player,FGM,FGA,FG_pc,3PM,3PA,3P_pc,FTM,FTA,FT_pc,OREB,DREB,REB,AST,STL,BLK,TOV,ID,Pos,2PA,2PM,2P_pc
T.J. Warren,8.0,14.9,53.6,1.4,3.4,40.3,2.5,3.0,81.9,1.0,3.2,4.2,1.5,1.2,0.5,1.3,warretj01,SF,11.5,6.6,0.5739130434782609
Tobias Harris,7.7,16.3,47.1,1.8,5.0,36.7,2.4,3.0,80.6,1.0,5.9,6.9,3.2,0.7,0.6,1.4,harrito02,SF-PF,11.3,5.9,0.5221238938053098
Nikola Vucevic,8.0,16.7,47.7,1.6,4.7,33.9,2.1,2.7,78.4,2.3,8.6,10.9,3.6,0.9,0.8,1.4,vucevni01,C,12.0,6.4,0.5333333333333333
Julius Randle,7.2,15.7,46.0,1.0,3.6,27.7,4.0,5.5,73.3,2.4,7.4,9.7,3.1,0.8,0.3,3.0,randlju01,PF,12.1,6.2,0.5123966942148761
Kyle Lowry,5.8,13.8,41.6,2.8,8.0,35.2,5.1,5.9,85.7,0.6,4.5,5.0,7.5,1.4,0.4,3.1,lowryky01,PG,5.800000000000001,3.0,0.5172413793103448
Buddy Hield,6.9,16.1,42.9,3.8,9.6,39.4,1.6,1.9,84.6,0.8,3.8,4.6,3.0,0.9,0.2,2.3,hieldbu01,SG,6.500000000000002,3.1000000000000005,0.4769230769230769
Jrue Holiday,7.5,16.5,45.5,2.0,5.7,35.3,2.1,3.0,70.9,1.3,3.5,4.8,6.7,1.6,0.8,3.0,holidjr01,SG,10.8,5.5,0.5092592592592592
Shai Gilgeous-Alexander,6.8,14.5,47.1,1.2,3.6,34.7,4.1,5.1,80.7,0.7,5.2,5.9,3.3,1.1,0.7,1.9,gilgesh01,SG,10.9,5.6,0.5137614678899082
Dennis Schroder,7.0,14.8,46.9,1.9,5.0,38.5,3.0,3.6,83.9,0.3,3.3,3.6,4.0,0.7,0.2,2.6,schrode01,SG,9.8,5.1,0.520408163265306
LaMarcus Aldridge,7.4,15.0,49.3,1.2,3.0,38.9,3.0,3.6,82.7,1.9,5.5,7.4,2.4,0.7,1.6,1.4,aldrila01,PF,12.0,6.2,0.5166666666666667
Danilo Gallinari,5.8,13.2,43.8,2.9,7.1,40.5,4.3,4.8,89.3,0.5,4.6,5.2,1.9,0.7,0.1,1.2,gallida01,SF,6.1,2.9,0.4754098360655738
Kelly Oubre Jr.,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78.0,1.2,5.3,6.4,1.5,1.3,0.7,1.5,oubreke01,SF,9.3,4.800000000000001,0.5161290322580645
Montrezl Harrell,7.5,12.9,58.0,0.0,0.3,0.0,3.7,5.6,65.8,2.6,4.5,7.1,1.7,0.6,1.1,1.7,harremo01,C,12.6,7.5,0.5952380952380952
Domantas Sabonis,7.4,13.7,54.0,0.3,1.1,25.4,3.5,4.8,72.3,3.0,9.4,12.4,5.0,0.8,0.5,2.7,sabondo01,PF,12.6,7.1000000000000005,0.5634920634920636
Evan Fournier,6.6,14.1,46.7,2.6,6.6,39.9,2.7,3.3,81.8,0.3,2.3,2.6,3.2,1.1,0.2,1.9,fournev01,SG,7.5,3.9999999999999996,0.5333333333333333
Jamal Murray,6.9,15.2,45.6,1.9,5.5,34.6,2.8,3.1,88.1,0.8,3.2,4.0,4.8,1.1,0.3,2.2,murraja01,SG,9.7,5.0,0.5154639175257733
Lou Williams,6.0,14.4,41.8,1.7,4.8,35.2,4.5,5.2,86.1,0.5,2.6,3.1,5.6,0.7,0.2,2.8,willilo02,SG,9.600000000000001,4.3,0.4479166666666666
Devonte' Graham,5.8,15.3,38.2,3.5,9.3,37.3,3.0,3.7,82.0,0.7,2.7,3.4,7.5,1.0,0.2,2.9,grahade01,PG,6.0,2.3,0.3833333333333333
Derrick Rose,7.4,15.1,49.0,0.9,2.9,30.6,2.4,2.8,87.1,0.5,1.9,2.4,5.6,0.8,0.3,2.5,rosede01,PG,12.2,6.5,0.5327868852459017
Terry Rozier,6.3,14.9,42.3,2.7,6.7,40.7,2.6,3.0,87.4,0.8,3.6,4.4,4.1,1.0,0.2,2.2,roziete01,PG,8.2,3.5999999999999996,0.43902439024390244
