2P_pc,3P_pc,AST,BLK,DREB,FG_pc,FT_pc,ID,OREB,STL,TOV
0.5186615186615188,0.355,0.7244897959183674,0.3103448275862069,0.438095238095238,0.2713936430317848,0.7490706319702601,hardeja01,0.2093023255813953,0.85,0.9347826086956524
0.4029290374117965,0.353,0.5816326530612245,0.1379310344827586,0.2285714285714285,0.2982885085574572,0.7063197026022304,bealbr01,0.1860465116279069,0.5499999999999999,0.6956521739130436
0.451737451737452,0.401,0.7755102040816327,0.1034482758620689,0.2761904761904761,0.3178484107579461,0.7918215613382898,lillada01,0.0930232558139534,0.5,0.5869565217391305
0.3877746267126797,0.361,0.9081632653061228,0.0344827586206896,0.2666666666666667,0.2542787286063571,0.7397769516728624,youngtr01,0.0930232558139534,0.5,1.0
0.7177606177606176,0.304,0.5306122448979592,0.3448275862068966,1.0,0.5378973105134474,0.3178438661710036,antetgi01,0.4883720930232558,0.45,0.7608695652173915
0.5624195624195624,0.316,0.8571428571428573,0.0689655172413793,0.6857142857142856,0.3178484107579461,0.5501858736059478,doncilu01,0.2790697674418604,0.45,0.891304347826087
0.4036802760207015,0.258,0.6734693877551021,0.1379310344827586,0.5047619047619047,0.3398533007334964,0.5594795539033456,westbru01,0.3953488372093023,0.75,0.9347826086956524
0.3764478764478768,0.378,0.4591836734693879,0.2068965517241379,0.4952380952380951,0.334963325183374,0.7881040892193306,leonaka01,0.1860465116279069,0.85,0.5217391304347827
0.5186615186615186,0.354,0.6224489795918368,0.1034482758620689,0.2761904761904761,0.3814180929095353,0.8494423791821563,bookede01,0.0697674418604651,0.3,0.782608695652174
0.4846103648920553,0.33,0.2857142857142858,0.7931034482758621,0.5809523809523809,0.4156479217603911,0.7137546468401487,davisan02,0.511627906976744,0.7,0.5000000000000001
0.3656922228350802,0.38,0.3877551020408164,0.1724137931034483,0.3047619047619047,0.2860635696821515,0.6319702602230483,lavinza01,0.1395348837209302,0.7,0.6956521739130436
0.5425447257508328,0.348,1.0,0.1724137931034483,0.5714285714285714,0.3911980440097798,0.4293680297397769,jamesle01,0.2093023255813953,0.5499999999999999,0.8043478260869567
0.3662084942084943,0.366,0.3979591836734694,0.0689655172413793,0.2571428571428571,0.2836185819070903,0.7453531598513011,mitchdo01,0.1627906976744186,0.45,0.5434782608695653
0.3875776397515525,0.391,0.3877551020408164,0.2068965517241379,0.419047619047619,0.3178484107579461,0.7230483271375464,ingrabr01,0.1627906976744186,0.45,0.6086956521739131
0.3207990599294946,0.4029999999999999,0.2653061224489796,0.3103448275862069,0.4857142857142856,0.2860635696821515,0.650557620817844,tatumja01,0.2093023255813953,0.6499999999999999,0.4565217391304347
0.3486234681886856,0.367,0.6020408163265306,0.1034482758620689,0.2571428571428571,0.2273838630806847,0.6449814126394052,russeda01,0.0697674418604651,0.5,0.673913043478261
0.3660420001883421,0.359,0.3163265306122449,0.3103448275862069,0.5142857142857142,0.2933985330073348,0.6133828996282528,siakapa01,0.2325581395348837,0.45,0.5000000000000001
0.3447142538051632,0.379,0.4081632653061225,0.2068965517241379,0.2571428571428571,0.2885085574572127,0.5483271375464683,mccolcj01,0.1395348837209302,0.35,0.3478260869565218
0.4881189914746963,0.257,0.5306122448979592,0.1034482758620689,0.3809523809523809,0.4841075794621027,0.7118959107806692,derozde01,0.1162790697674418,0.45,0.4782608695652173
0.3872035300606727,0.332,0.3367346938775511,0.3448275862068966,0.2857142857142857,0.2787286063569684,0.4591078066914499,wiggian01,0.255813953488372,0.35,0.4782608695652173
