Player,FieldsGoalMade,FieldsGoalAttempted,FiedlGoals_pc,3PointMade,3PointsA,3Point_pc,FreeTrhowsM,FreeThrowsA,FreeThrow_pc,OffREBounds,DefensREBounds,REBounds,AST,SteaLs,Blocks,Turnovers
Montrezl Harrell,7.50,12.90,58.00,0.00,0.30,0.00,3.70,5.60,65.80,2.60,4.50,7.10,1.70,0.60,1.10,1.70
Domantas Sabonis,7.40,13.70,54.00,0.30,1.10,25.40,3.50,4.80,72.30,3.00,9.40,12.40,5.00,0.80,0.50,2.70
Evan Fournier,6.60,14.10,46.70,2.60,6.60,39.90,2.70,3.30,81.80,0.30,2.30,2.60,3.20,1.10,0.20,1.90
Jamal Murray,6.90,15.20,45.60,1.90,5.50,34.60,2.80,3.10,88.10,0.80,3.20,4.00,4.80,1.10,0.30,2.20
Lou Williams,6.00,14.40,41.80,1.70,4.80,35.20,4.50,5.20,86.10,0.50,2.60,3.10,5.60,0.70,0.20,2.80
Devonte' Graham,5.80,15.30,38.20,3.50,9.30,37.30,3.00,3.70,82.00,0.70,2.70,3.40,7.50,1.00,0.20,2.90
Derrick Rose,7.40,15.10,49.00,0.90,2.90,30.60,2.40,2.80,87.10,0.50,1.90,2.40,5.60,0.80,0.30,2.50
Terry Rozier,6.30,14.90,42.30,2.70,6.70,40.70,2.60,3.00,87.40,0.80,3.60,4.40,4.10,1.00,0.20,2.20
Ja Morant,6.70,14.00,47.70,0.90,2.70,33.50,3.60,4.60,77.60,0.80,3.10,3.90,7.30,0.90,0.30,3.30
Andre Drummond,7.30,13.80,53.30,0.10,0.60,14.30,3.00,5.20,57.50,4.40,10.80,15.20,2.70,1.90,1.60,3.60
Fred VanVleet,5.90,14.30,41.30,2.70,6.90,39.00,3.10,3.70,84.80,0.30,3.40,3.80,6.60,1.90,0.30,2.20
Kevin Love,5.80,13.00,45.00,2.60,7.00,37.40,3.30,3.90,85.40,1.00,8.80,9.80,3.20,0.60,0.30,2.50
Chris Paul,6.20,12.70,48.90,1.60,4.30,36.50,3.60,4.00,90.70,0.40,4.60,5.00,6.70,1.60,0.20,2.30
Gordon Hayward,6.70,13.50,50.00,1.60,4.30,38.30,2.40,2.80,85.50,1.10,5.60,6.70,4.10,0.70,0.40,1.80
Jaren Jackson Jr.,6.20,13.20,46.90,2.50,6.50,39.40,2.40,3.30,74.70,1.00,3.60,4.60,1.40,0.70,1.60,1.70
Marcus Morris Sr.,5.70,13.10,43.80,2.30,5.60,40.80,2.90,3.50,82.30,1.00,4.10,5.00,1.40,0.80,0.50,1.60
Malcolm Brogdon,6.00,13.80,43.80,1.40,4.30,32.60,3.10,3.40,89.20,0.90,4.00,4.90,7.10,0.60,0.20,2.40
Ben Simmons,6.60,11.40,58.00,0.00,0.10,28.60,3.20,5.20,62.10,2.00,5.80,7.80,8.00,2.10,0.60,3.50
Dillon Brooks,6.00,14.60,40.70,2.00,5.60,35.80,2.20,2.80,80.80,0.90,2.40,3.30,2.10,0.90,0.40,1.70
Goran Dragic,5.40,12.30,44.10,2.10,5.70,36.70,3.20,4.20,77.60,0.50,2.70,3.20,5.10,0.70,0.20,2.40
Norman Powell,5.70,11.50,49.50,2.10,5.30,39.90,2.50,2.90,84.30,0.50,3.20,3.70,1.80,1.20,0.40,1.50
Bam Adebayo,6.10,11.00,55.70,0.00,0.20,14.30,3.70,5.30,69.10,2.40,7.80,10.20,5.10,1.10,1.30,2.80
