Player,FieldsGoalMade,FieldsGoalAttempted,FiedlGoals_pc,3PointMade,3PointsA,3Point_pc,FreeTrhowsM,FreeThrowsA,FreeThrow_pc,OffREBounds,DefensREBounds,REBounds,AST,SteaLs,Blocks,Turnovers
Patrick Beverley,2.90,6.70,43.10,1.60,4.00,38.80,0.60,0.90,66.00,1.10,4.10,5.20,3.60,1.10,0.50,1.30
De'Anthony Melton,2.70,6.70,40.10,0.70,2.30,28.60,1.60,2.00,76.90,0.70,3.00,3.70,2.90,1.30,0.30,1.40
Omari Spellman,2.60,6.00,43.10,0.90,2.20,39.10,1.50,1.90,79.30,1.60,2.90,4.50,1.00,0.70,0.50,1.10
Terence Davis,2.80,6.10,45.60,1.30,3.40,38.80,0.70,0.80,86.40,0.70,2.60,3.30,1.60,0.50,0.20,1.10
Dwight Howard,2.90,4.00,72.90,0.00,0.10,60.00,1.60,3.10,51.40,2.50,4.90,7.30,0.70,0.40,1.10,1.20
Tyus Jones,3.00,6.60,45.90,0.70,1.90,37.90,0.70,0.90,74.10,0.10,1.40,1.60,4.40,0.90,0.10,0.80
Bismack Biyombo,2.80,5.20,54.30,0.00,0.00,0.00,1.70,2.80,60.30,2.30,3.50,5.80,0.90,0.20,0.90,0.90
Jaxson Hayes,2.70,4.00,67.20,0.00,0.10,25.00,1.90,3.00,64.70,1.50,2.50,4.00,0.90,0.40,0.90,0.80
Wesley Matthews,2.50,6.30,39.60,1.60,4.40,36.40,0.80,1.00,76.50,0.30,2.10,2.50,1.40,0.60,0.10,0.60
Gorgui Dieng,2.60,5.80,45.60,0.90,2.40,35.50,1.20,1.60,77.20,1.40,4.20,5.60,1.20,0.80,0.90,1.00
Nerlens Noel,3.00,4.40,68.40,0.00,0.00,33.30,1.30,1.70,75.50,1.50,3.40,4.90,0.90,1.00,1.50,1.10
Emmanuel Mudiay,2.80,6.10,46.20,0.60,1.60,34.50,1.20,1.50,75.90,0.30,2.00,2.30,2.10,0.40,0.20,1.40
Kris Dunn,3.00,6.70,44.40,0.60,2.20,25.90,0.80,1.10,74.10,0.50,3.20,3.60,3.40,2.00,0.30,1.30
Willie Cauley-Stein,3.20,5.60,57.90,0.00,0.00,0.00,0.70,1.20,60.60,1.60,4.30,5.80,1.30,0.90,1.10,0.70
Mason Plumlee,2.90,4.70,61.50,0.00,0.10,0.00,1.40,2.50,53.50,1.60,3.60,5.20,2.50,0.50,0.60,1.30
Rondae Hollis-Jefferson,2.60,5.50,47.10,0.10,0.40,13.00,1.80,2.40,73.40,1.80,2.90,4.70,1.80,0.80,0.40,1.00
P.J. Tucker,2.50,5.90,41.50,1.50,4.20,35.80,0.50,0.70,81.30,1.60,5.10,6.60,1.60,1.10,0.50,1.00
Delon Wright,2.60,5.60,46.20,0.60,1.70,37.00,1.10,1.40,77.00,1.00,2.90,3.80,3.30,1.20,0.30,1.00
Brad Wanamaker,2.30,5.10,44.80,0.50,1.40,36.30,1.80,1.90,92.60,0.30,1.70,2.00,2.50,0.90,0.20,1.10
JaMychal Green,2.40,5.60,42.90,1.50,3.80,38.70,0.60,0.80,75.00,1.20,4.90,6.20,0.80,0.50,0.40,0.90
Damyean Dotson,2.50,6.00,41.40,1.20,3.40,36.20,0.50,0.70,66.70,0.20,1.70,1.90,1.20,0.50,0.10,0.40
Kyle Korver,2.20,5.10,43.00,1.70,4.10,41.80,0.60,0.70,85.40,0.30,1.80,2.10,1.20,0.40,0.20,0.80
Chris Boucher,2.30,4.80,47.20,0.60,1.90,32.20,1.50,1.90,78.40,1.70,2.70,4.50,0.40,0.40,1.00,0.50
Nicolo Melli,2.30,5.40,42.10,1.20,3.40,33.50,0.90,1.20,74.00,0.60,2.40,3.00,1.40,0.60,0.40,0.80
James Ennis III,2.30,5.20,44.60,0.80,2.40,32.50,1.10,1.40,80.60,1.00,2.50,3.60,0.90,0.50,0.30,0.80
Ersan Ilyasova,2.30,5.00,46.60,0.80,2.20,36.50,1.10,1.40,82.80,1.00,3.80,4.80,0.80,0.40,0.30,0.50
JaVale McGee,2.90,4.50,63.70,0.00,0.10,50.00,0.80,1.20,64.60,1.80,3.90,5.70,0.50,0.50,1.40,0.80
T.J. McConnell,3.00,5.80,51.60,0.10,0.20,29.40,0.50,0.60,83.30,0.50,2.10,2.70,5.00,0.80,0.20,1.40
Kevin Knox II,2.20,6.20,35.90,1.00,3.10,32.70,1.00,1.60,65.30,0.40,2.40,2.80,0.90,0.40,0.40,0.70
Trey Lyles,2.40,5.40,44.60,1.00,2.70,38.70,0.50,0.70,73.30,1.10,4.60,5.70,1.10,0.40,0.40,0.60
Lonnie Walker IV,2.50,5.90,42.60,0.70,1.70,40.60,0.70,1.00,72.10,0.40,1.90,2.30,1.10,0.50,0.20,0.70
Cory Joseph,2.40,5.70,41.50,0.80,2.20,35.20,0.80,1.00,85.70,0.60,2.00,2.60,3.50,0.70,0.30,1.10
Royce O'Neale,2.20,5.10,43.30,1.30,3.40,37.70,0.60,0.80,76.40,0.40,5.10,5.50,2.50,0.80,0.50,0.90
Marco Belinelli,2.20,5.50,39.20,1.20,3.10,37.60,0.80,1.00,82.80,0.10,1.60,1.70,1.20,0.20,0.00,0.30
Frank Jackson,2.30,5.60,40.50,0.80,2.40,32.60,0.90,1.30,74.70,0.40,1.00,1.40,1.00,0.30,0.10,0.80
Abdel Nader,2.20,4.80,46.80,0.90,2.30,37.50,0.90,1.20,77.30,0.30,1.60,1.80,0.70,0.40,0.40,0.80
Frank Ntilikina,2.30,5.80,39.30,0.80,2.40,32.10,0.90,1.00,86.40,0.40,1.70,2.10,3.00,0.90,0.30,1.20
Taj Gibson,2.70,4.60,58.40,0.10,0.20,28.60,0.70,0.90,73.20,1.80,2.50,4.30,0.80,0.40,0.50,0.80
Juancho Hernangomez,2.10,5.10,40.50,0.90,2.70,34.10,0.90,1.50,62.00,0.90,3.20,4.10,0.80,0.40,0.20,0.70
Mike Scott,2.20,5.10,42.60,1.20,3.20,36.90,0.40,0.50,81.10,1.00,2.70,3.60,0.80,0.30,0.10,0.40
Georges Niang,2.10,4.90,43.80,1.40,3.40,40.00,0.30,0.40,83.30,0.20,1.70,1.90,0.70,0.30,0.10,0.50
Marvin Williams,2.10,4.60,44.60,1.00,2.70,35.90,0.80,1.00,86.00,0.50,2.60,3.20,1.00,0.60,0.50,0.60
Kyle Anderson,2.30,4.90,47.40,0.40,1.30,28.20,0.80,1.20,66.70,0.90,3.40,4.30,2.40,0.80,0.60,1.00
Wes Iwundu,1.90,4.50,41.60,0.50,1.60,34.10,1.50,1.90,80.40,0.50,2.10,2.50,1.20,0.50,0.30,0.50
Maurice Harkless,2.30,4.60,50.20,0.50,1.60,34.70,0.60,1.10,59.10,0.90,3.00,3.90,1.10,0.90,0.50,0.90
Jakob Poeltl,2.50,4.00,62.40,0.00,0.00,0.00,0.60,1.30,46.50,2.00,3.70,5.70,1.80,0.60,1.40,0.80
Darius Bazley,2.00,5.20,39.40,0.80,2.30,34.80,0.70,1.00,69.40,0.50,3.50,4.00,0.70,0.40,0.70,0.70
Damian Jones,2.20,3.20,68.00,0.00,0.20,22.20,1.10,1.50,73.80,1.30,2.40,3.70,0.60,0.50,0.70,0.50
Justin Jackson,2.10,5.20,39.60,0.70,2.50,29.40,0.60,0.80,84.00,0.40,2.00,2.40,0.80,0.20,0.20,0.20
Solomon Hill,1.90,4.70,39.60,1.10,2.90,36.80,0.70,0.90,74.10,0.50,2.30,2.80,1.80,0.70,0.20,0.90
Alex Caruso,1.90,4.50,41.20,0.60,1.90,33.30,1.10,1.50,73.40,0.30,1.70,1.90,1.90,1.10,0.30,0.80
Torrey Craig,2.10,4.60,46.10,0.80,2.40,32.60,0.40,0.60,61.10,1.10,2.20,3.30,0.80,0.40,0.60,0.40
Robin Lopez,2.20,4.50,49.20,0.50,1.60,33.30,0.40,0.80,52.80,0.80,1.60,2.40,0.70,0.20,0.70,1.00
Pat Connaughton,2.00,4.50,45.50,0.80,2.50,33.10,0.50,0.60,77.50,0.90,3.30,4.20,1.60,0.40,0.50,0.80
Mo Bamba,2.10,4.60,46.20,0.60,1.70,34.60,0.50,0.70,67.40,1.60,3.30,4.90,0.70,0.40,1.40,0.70
Sterling Brown,1.80,4.90,37.10,0.80,2.60,32.40,0.60,0.80,80.00,0.60,2.90,3.50,1.00,0.60,0.10,0.80
Raul Neto,1.90,4.10,45.50,0.60,1.60,38.60,0.70,0.90,83.00,0.20,0.90,1.10,1.80,0.40,0.10,0.90
Jerome Robinson,1.80,4.90,37.10,0.80,2.40,32.00,0.60,0.90,70.20,0.20,1.80,2.00,1.40,0.40,0.30,0.80
Isaac Bonga,1.80,3.50,50.40,0.40,1.10,35.20,1.00,1.30,81.20,1.10,2.30,3.40,1.20,0.70,0.30,0.90
Vince Carter,1.80,5.10,35.20,1.00,3.40,30.20,0.40,0.50,79.30,0.30,1.80,2.10,0.80,0.40,0.40,0.60
Cody Martin,1.90,4.30,43.00,0.40,1.60,23.40,0.90,1.40,64.60,0.80,2.50,3.30,2.00,0.80,0.20,0.90
Patrick Patterson,1.60,3.90,40.80,1.10,2.90,39.00,0.60,0.70,81.40,0.60,2.00,2.60,0.70,0.10,0.10,0.40
Jevon Carter,1.70,4.20,41.60,1.10,2.50,42.50,0.40,0.50,85.20,0.50,1.50,2.00,1.40,0.80,0.30,0.60
Tony Bradley,2.20,3.30,66.70,0.10,0.10,100.00,0.50,0.80,65.20,1.90,2.70,4.60,0.40,0.20,0.60,0.50
Mario Hezonja,1.70,4.10,42.20,0.50,1.50,30.80,0.90,1.10,81.40,0.60,2.90,3.50,0.90,0.70,0.20,0.80
Matisse Thybulle,1.70,4.10,42.30,0.90,2.40,35.70,0.40,0.60,61.00,0.70,1.00,1.60,1.20,1.40,0.70,0.80
Thon Maker,1.60,3.20,48.20,0.40,1.10,34.40,1.20,1.80,66.40,0.90,1.90,2.80,0.70,0.40,0.70,0.80
Ryan Arcidiacono,1.60,3.80,40.90,0.90,2.40,39.10,0.50,0.70,71.10,0.30,1.60,1.90,1.70,0.50,0.10,0.60
Treveon Graham,1.60,4.40,36.00,0.60,2.20,27.50,0.70,1.00,64.30,0.90,1.80,2.70,0.80,0.40,0.10,0.50
Bruno Fernando,1.80,3.60,51.80,0.10,0.70,13.50,0.50,0.90,56.90,1.20,2.30,3.50,0.90,0.30,0.30,0.80
Elie Okobo,1.30,3.30,39.80,0.50,1.30,35.20,0.90,1.30,70.40,0.30,1.30,1.60,2.10,0.40,0.10,0.70
Terrance Ferguson,1.40,3.90,35.50,0.90,3.00,29.20,0.30,0.40,75.00,0.40,0.90,1.30,0.90,0.50,0.30,0.60
Anthony Tolliver,1.20,3.30,35.70,0.90,2.60,33.80,0.40,0.50,72.40,0.60,2.20,2.80,0.80,0.30,0.20,0.60
Grant Williams,1.30,3.10,41.20,0.30,1.40,25.00,0.60,0.80,72.20,0.90,1.70,2.60,1.00,0.40,0.50,0.70
Semi Ojeleye,1.20,2.80,40.80,0.70,1.80,37.80,0.40,0.50,87.50,0.40,1.70,2.10,0.50,0.30,0.10,0.30
Rodney McGruder,1.30,3.20,39.80,0.40,1.60,27.00,0.30,0.60,55.90,0.50,2.20,2.70,0.60,0.50,0.10,0.40
Goga Bitadze,1.30,2.80,46.70,0.10,0.80,19.00,0.40,0.60,72.70,0.50,1.50,2.00,0.40,0.20,0.70,0.50
Matthew Dellavedova,1.10,3.10,35.40,0.40,1.60,23.10,0.60,0.60,86.50,0.30,1.00,1.30,3.20,0.40,0.00,1.00
