ID,FGM,FGA,FG_pc,3PM,3PA,3P_pc,FTM,FTA,FT_pc,OREB,DREB,REB,AST,STL,BLK,TOV,2PA,2PM,2P_pc
brownbr01,0.23469387755102034,0.2437810945273632,0.2689486552567236,0.13636363636363635,0.13709677419354838,0.344,0.12121212121212124,0.14912280701754385,0.5148698884758366,0.23255813953488375,0.2666666666666667,0.25531914893617025,0.3673469387755103,0.5,0.1724137931034483,0.32608695652173914,0.2928176795580111,0.2688172043010753,0.2911196911196914
trentga02,0.21428571428571425,0.21890547263681595,0.2713936430317848,0.40909090909090906,0.3548387096774194,0.418,0.030303030303030304,0.026315789473684202,0.6691449814126395,0.06976744186046512,0.028571428571428553,0.035460992907801414,0.06122448979591837,0.35000000000000003,0.10344827586206896,0.0217391304347826,0.11602209944751382,0.11827956989247312,0.3764478764478769
johnsca02,0.20408163265306117,0.21393034825870647,0.24938875305623476,0.43181818181818177,0.3870967741935484,0.39,0.050505050505050525,0.05263157894736842,0.6412639405204462,0.18604651162790697,0.14285714285714282,0.15602836879432624,0.0816326530612245,0.25,0.13793103448275865,0.08695652173913043,0.08839779005524862,0.09677419354838712,0.43209669296625863
poolejo01,0.18367346938775503,0.29850746268656725,0.0,0.29545454545454547,0.3709677419354838,0.27899999999999997,0.14141414141414144,0.14912280701754385,0.62453531598513,0.023255813953488372,0.0952380952380952,0.07092198581560284,0.20408163265306123,0.25,0.06896551724137932,0.23913043478260873,0.19337016574585641,0.13978494623655918,0.07170435741864312
bazemke01,0.18367346938775503,0.25373134328358216,0.10268948655256727,0.2727272727272727,0.2903225806451613,0.344,0.14141414141414144,0.15789473684210528,0.570631970260223,0.06976744186046512,0.2857142857142857,0.22695035460992907,0.10204081632653061,0.5,0.20689655172413793,0.23913043478260873,0.19889502762430944,0.15053763440860218,0.10855706204543414
riverau01,0.20408163265306117,0.22885572139303487,0.21515892420537897,0.3181818181818182,0.3225806451612903,0.35600000000000004,0.08080808080808083,0.10526315789473684,0.44795539033457243,0.06976744186046512,0.12380952380952381,0.10638297872340426,0.1326530612244898,0.3,0.03448275862068966,0.10869565217391305,0.14917127071823208,0.15053763440860218,0.3764478764478767
okogijo01,0.16326530612244894,0.17910447761194034,0.2298288508557459,0.1590909090909091,0.20161290322580644,0.266,0.22222222222222224,0.2368421052631579,0.6208178438661708,0.30232558139534876,0.19047619047619044,0.22695035460992907,0.12244897959183676,0.5,0.13793103448275865,0.2608695652173913,0.17679558011049723,0.18279569892473121,0.40926640926640934
jonesde02,0.20408163265306117,0.15422885572139308,0.47432762836185816,0.13636363636363635,0.1774193548387097,0.28,0.13131313131313135,0.14912280701754385,0.5762081784386618,0.23255813953488375,0.1809523809523809,0.19858156028368795,0.07142857142857145,0.45,0.20689655172413793,0.06521739130434784,0.16574585635359118,0.23655913978494628,0.8261504747991235
mooreet01,0.22448979591836726,0.24875621890547264,0.2273838630806847,0.25,0.24193548387096775,0.37700000000000006,0.030303030303030304,0.03508771929824561,0.4219330855018587,0.11627906976744183,0.08571428571428572,0.08510638297872337,0.10204081632653061,0.25,0.06896551724137932,0.10869565217391305,0.2265193370165746,0.20430107526881724,0.26978764478764505
jordade01,0.23469387755102034,0.11442786069651742,0.8141809290953544,0.0,0.0,0.0,0.12121212121212124,0.15789473684210528,0.4052044609665427,0.5581395348837208,0.6285714285714284,0.6312056737588653,0.15306122448979592,0.09999999999999999,0.3103448275862069,0.23913043478260873,0.24309392265193366,0.3333333333333334,0.8030888030888035
zubaciv01,0.22448979591836726,0.12437810945273634,0.6845965770171148,0.0,0.0,0.0,0.14141414141414144,0.16666666666666663,0.5297397769516728,0.6046511627906976,0.37142857142857133,0.45390070921985815,0.07142857142857145,0.05,0.3103448275862069,0.13043478260869568,0.2541436464088398,0.32258064516129037,0.6903911998251622
simonan01,0.20408163265306117,0.2437810945273632,0.1613691931540342,0.25,0.25806451612903225,0.332,0.08080808080808083,0.07894736842105263,0.6765799256505575,0.06976744186046512,0.08571428571428572,0.07801418439716314,0.10204081632653061,0.15000000000000002,0.03448275862068966,0.1521739130434783,0.20994475138121546,0.18279569892473121,0.2342342342342345
holidju01,0.17346938775510196,0.1940298507462687,0.23227383863080686,0.40909090909090906,0.3629032258064516,0.405,0.0404040404040404,0.043859649122807015,0.611524163568773,0.06976744186046512,0.1809523809523809,0.15602836879432624,0.09183673469387757,0.5499999999999999,0.20689655172413793,0.08695652173913043,0.0828729281767956,0.07526881720430106,0.26009126009126016
olynyke01,0.16326530612244894,0.15422885572139308,0.31540342298288515,0.3181818181818182,0.282258064516129,0.406,0.10101010101010102,0.09649122807017543,0.7397769516728624,0.1395348837209302,0.2857142857142857,0.2482269503546099,0.1326530612244898,0.3,0.10344827586206896,0.19565217391304351,0.0939226519337017,0.10752688172043018,0.48310810810810856
brunsja01,0.21428571428571425,0.19900497512437812,0.3251833740831297,0.18181818181818182,0.16935483870967744,0.358,0.08080808080808083,0.07894736842105263,0.6524163568773232,0.06976744186046512,0.10476190476190475,0.09219858156028367,0.2959183673469388,0.15000000000000002,0.03448275862068966,0.21739130434782608,0.2209944751381215,0.22580645161290328,0.40368027602070233
kanteen01,0.23469387755102034,0.1592039800995025,0.5843520782396089,0.0,0.008064516129032258,0.14300000000000002,0.09090909090909091,0.11403508771929824,0.4553903345724907,0.6279069767441858,0.35238095238095235,0.44680851063829796,0.06122448979591837,0.15000000000000002,0.2413793103448276,0.1739130434782609,0.28729281767955805,0.3333333333333334,0.5716903344021989
greenda02,0.18367346938775503,0.20895522388059704,0.20293398533007345,0.40909090909090906,0.3870967741935484,0.36700000000000005,0.020202020202020207,0.026315789473684202,0.420074349442379,0.16279069767441862,0.1619047619047619,0.15602836879432624,0.09183673469387757,0.6,0.1724137931034483,0.1521739130434783,0.0828729281767956,0.08602150537634412,0.3764478764478765
snellto01,0.18367346938775503,0.18407960199004977,0.273838630806846,0.38636363636363635,0.34677419354838707,0.402,0.020202020202020207,0.008771929824561403,0.9999999999999999,0.023255813953488372,0.07619047619047617,0.056737588652482254,0.18367346938775514,0.2,0.10344827586206896,0.06521739130434784,0.0828729281767956,0.09677419354838712,0.492804492804493
