ID,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,Pos,Player
hardeja01,0.2546088250968277,0.9377661491717529,-0.0856358883610931,-0.03296315256647454,0.1261353431697387,0.12686753582927804,0.04532662041445421,-0.09991398655880532,0.13974819069162,0.08216026025168893,SG,James Harden
bealbr01,0.003836390469728646,0.5644783374331462,-0.12497257965399917,-0.06722665692430405,-0.04313238208605667,0.07501897672699064,-0.006374361697241361,0.031225447669633824,0.11355564423428435,0.0528397683177432,SG,Bradley Beal
lillada01,-0.05272976217089842,0.6214141460334701,-0.2763340729143392,-0.07063031326721556,-0.048666699987722474,0.07635652757261505,0.007436514109710954,0.00997957280013755,-0.10087636329795344,0.03350856356275279,PG,Damian Lillard
youngtr01,-0.04257441817926213,0.9378293319420692,-0.27876740940559885,-0.10915560003636995,-0.2726914482418844,0.10254285271699687,0.03572586036317679,-0.02875627553809633,0.1225788688871406,0.059432663074454405,PG,Trae Young
antetgi01,0.8817918697793704,0.4805724901467773,-0.011135745429857666,0.11535382601682231,-0.2191177111993788,-0.13640141491685492,0.18869578736431028,-0.23825275313194336,-0.04709505325180198,-0.08759437232946482,SG,Giannis Antetokounmpo
doncilu01,0.3628110941131369,0.8168906418736315,-0.18761089045257878,-0.004336836702446733,-0.333871789726183,-0.10409350174580267,0.09177851357228162,-0.18036415151394317,-0.04832737318465345,0.031230521568800913,PG,Luka Doncic
westbru01,0.35170399540809816,0.8481155942742938,0.041412417239922644,-0.06069799032164317,-0.10815240969154599,-0.06457627417643623,-0.027006190933669044,0.0018470900987324005,0.17347013557582996,0.03735688850831071,PG,Russell Westbrook
leonaka01,0.11360795112117557,0.5981536646852916,0.03230878756899577,0.061028247686792415,0.29449058123247757,-0.06338787919511396,-0.0005939683090641156,-0.0011506846224922736,-0.0045944915449027575,-0.08098644773424302,SF,Kawhi Leonard
bookede01,-0.01349756215268668,0.535529164839162,-0.42553782387946326,0.017859738312913317,-0.16335711511583131,0.09673072669474647,0.018727669654496192,-0.07234751149470336,0.1332455811224341,-0.011240415602069535,SG,Devin Booker
davisan02,0.5983230249662979,0.3259127191783308,0.1420367365517523,0.32187457695561916,0.3306853018401626,0.2963241334656219,-0.030494117931443503,0.015557302771577363,0.036696803256853094,0.034634022157668344,PF,Anthony Davis
lavinza01,0.02928456424381455,0.5277967241473093,0.04702372723057005,-0.05664068714258726,0.0950811272891428,0.026474659223960813,0.07325061023435737,-0.0178962632856086,0.20133562355267867,-0.033374405168846835,SG,Zach LaVine
jamesle01,0.37106435388522013,0.8479671488164238,-0.1388031661869416,-0.18839745071095926,-0.28585514400219114,0.05143991482031387,0.1197676321978978,-0.10419464109225599,-0.17578523979304478,-0.005846310079955034,SF,LeBron James
mitchdo01,-0.0930193434227372,0.3530599556946749,-0.11130050191185978,0.02813449241491432,-0.02068327501449155,-0.024270723319126827,-0.006512440142291006,0.022251246721913615,0.10520622726361173,0.003948602633675007,SG,Donovan Mitchell
ingrabr01,0.0590946650030052,0.3930426361018069,-0.08746956946469692,0.12836044332010418,-0.011377936409710325,0.030025437326861717,0.06710715172285704,-0.045376542704368604,0.09829031619239514,-0.05866198311440073,SF,Brandon Ingram
tatumja01,0.11532278728983582,0.3346094291679725,0.15173854296748124,0.1492147690533924,0.18147301619462744,0.014589815906282005,0.07297178308293546,-0.02084592978756655,0.040550726588264335,-0.08506866303612579,SF,Jayson Tatum
russeda01,-0.09781477156504434,0.5638145729088844,-0.07883201169562806,-0.0770907939305868,-0.11460187991218135,0.07773058629215543,0.048343048491783974,-0.039595153567810765,0.06132431228661248,0.003466875797288422,PG,D'Angelo Russell
siakapa01,0.16509404649231027,0.28350786031923864,0.0670863504946376,0.17898841041021205,-0.003420529359014147,0.04160503803136142,0.06298152968627317,-0.07185733660405372,0.02754210323517839,-0.06658528182022713,PF,Pascal Siakam
mccolcj01,-0.04933782630792153,0.1641691421411775,0.0070938044453223445,-0.019141486890991696,-0.08569343999200059,0.09903523927962983,0.04434212693679607,0.015576484383596859,-0.06967541464273537,-0.02669145004941488,SG,CJ McCollum
derozde01,0.09598948693519337,0.3648060659027939,-0.2314194509867816,-0.06072542718952527,-0.019325922733917138,-0.023088660856024675,-0.07369097936738532,-0.04180927567702696,-0.04418519814197545,-0.13556852003498843,SG,DeMar DeRozan
wiggian01,0.13010451914821292,0.15752068793874394,0.09162962986064352,0.012560707066602547,-0.12076492173869528,0.174916445986121,0.04861727742825163,-0.019744537011945843,0.05534247640718941,0.030484455389173423,SF,Andrew Wiggins
foxde01,0.11958795257049055,0.5716203156791645,0.013810507132016736,-0.31934382587891513,-0.019241434109169866,0.10345194664998804,0.011496863422224338,-0.00919381846660005,0.022088315372510818,0.00015719546547210848,PG,De'Aaron Fox
middlkh01,-0.0021025981398698898,0.2939631908687539,-0.26878276776475435,0.11464103390527451,0.045308169952088355,-0.13813138853355086,0.03429159086192231,-0.02358518633902886,-0.022585859812057112,-0.07896552489993613,SG,Khris Middleton
sextoco01,-0.1286497849390221,0.19859031349845044,-0.10273257364210593,-0.04700125767499419,0.029740337186914014,-0.040329517056861656,-0.011382910793323242,0.10138859378773032,0.1815233006324207,0.011637373818758989,PG,Collin Sexton
dinwisp01,-0.14517940172690302,0.3880216985207529,-0.11792746965215932,-0.06899310850729957,-0.30570308825786546,0.1338604397346614,-0.01590249326246185,-0.0381667114201408,-0.05448067879108519,0.043891307138936235,PG,Spencer Dinwiddie
