Player,FG_pc,3P_pc,FT_pc,OREB,DREB,AST,STL,BLK,TOV,ID,Pos,2P_pc
Ja Morant,47.7,33.5,77.6,0.8,3.1,7.3,0.9,0.3,3.3,moranja01,PG,0.5132743362831858
Andre Drummond,53.3,14.3,57.5,4.4,10.8,2.7,1.9,1.6,3.6,drumman01,C,0.5454545454545454
Fred VanVleet,41.3,39.0,84.8,0.3,3.4,6.6,1.9,0.3,2.2,vanvlfr01,SG,0.4324324324324324
Kevin Love,45.0,37.4,85.4,1.0,8.8,3.2,0.6,0.3,2.5,loveke01,PF,0.5333333333333333
Chris Paul,48.9,36.5,90.7,0.4,4.6,6.7,1.6,0.2,2.3,paulch01,PG,0.5476190476190477
Gordon Hayward,50.0,38.3,85.5,1.1,5.6,4.1,0.7,0.4,1.8,haywago01,SF,0.5543478260869565
Jaren Jackson Jr.,46.9,39.4,74.7,1.0,3.6,1.4,0.7,1.6,1.7,jacksja02,PF,0.5522388059701493
Marcus Morris Sr.,43.8,40.8,82.3,1.0,4.1,1.4,0.8,0.5,1.6,morrima03,SF-PF,0.4533333333333333
Malcolm Brogdon,43.8,32.6,89.2,0.9,4.0,7.1,0.6,0.2,2.4,brogdma01,SG,0.4842105263157894
Ben Simmons,58.0,28.6,62.1,2.0,5.8,8.0,2.1,0.6,3.5,simmobe01,PG,0.5840707964601769
Dillon Brooks,40.7,35.8,80.8,0.9,2.4,2.1,0.9,0.4,1.7,brookdi01,SG,0.4444444444444444
Goran Dragic,44.1,36.7,77.6,0.5,2.7,5.1,0.7,0.2,2.4,dragigo01,PG,0.5
Norman Powell,49.5,39.9,84.3,0.5,3.2,1.8,1.2,0.4,1.5,powelno01,SG,0.5806451612903226
Bam Adebayo,55.7,14.3,69.1,2.4,7.8,5.1,1.1,1.3,2.8,adebaba01,PF,0.5648148148148148
Tim Hardaway Jr.,43.4,39.8,81.9,0.4,2.9,1.9,0.6,0.1,1.0,hardati02,SG,0.4716981132075473
Hassan Whiteside,62.1,57.1,68.6,3.9,9.7,1.2,0.4,2.9,1.8,whiteha01,C,0.6153846153846154
Davis Bertans,43.4,42.4,85.2,0.6,3.9,1.7,0.7,0.6,1.1,bertada01,PF,0.4615384615384613
