Player,FG_pc,3P_pc,FT_pc,OREB,DREB,AST,STL,BLK,TOV,ID,Pos,2P_pc
Frank Ntilikina,39.3,32.1,86.4,0.4,1.7,3.0,0.9,0.3,1.2,ntilila01,PG,0.4411764705882352
Taj Gibson,58.4,28.6,73.2,1.8,2.5,0.8,0.4,0.5,0.8,gibsota01,PF,0.590909090909091
Juancho Hernangomez,40.5,34.1,62.0,0.9,3.2,0.8,0.4,0.2,0.7,hernaju01,PF,0.5000000000000002
Mike Scott,42.6,36.9,81.1,1.0,2.7,0.8,0.3,0.1,0.4,scottmi01,PF,0.5263157894736845
Georges Niang,43.8,40.0,83.3,0.2,1.7,0.7,0.3,0.1,0.5,niangge01,PF,0.4666666666666667
Marvin Williams,44.6,35.9,86.0,0.5,2.6,1.0,0.6,0.5,0.6,willima02,SF,0.5789473684210529
Kyle Anderson,47.4,28.2,66.7,0.9,3.4,2.4,0.8,0.6,1.0,anderky01,SF,0.5277777777777777
Wes Iwundu,41.6,34.1,80.4,0.5,2.1,1.2,0.5,0.3,0.5,iwundwe01,SF,0.4827586206896551
Maurice Harkless,50.2,34.7,59.1,0.9,3.0,1.1,0.9,0.5,0.9,harklma01,SF,0.6
Jakob Poeltl,62.4,0.0,46.5,2.0,3.7,1.8,0.6,1.4,0.8,poeltja01,C,0.625
Darius Bazley,39.4,34.8,69.4,0.5,3.5,0.7,0.4,0.7,0.7,bazleda01,PF,0.4137931034482758
Damian Jones,68.0,22.2,73.8,1.3,2.4,0.6,0.5,0.7,0.5,jonesda03,C,0.7333333333333334
Justin Jackson,39.6,29.4,84.0,0.4,2.0,0.8,0.2,0.2,0.2,jacksju01,SF,0.5185185185185185
Solomon Hill,39.6,36.8,74.1,0.5,2.3,1.8,0.7,0.2,0.9,hillso01,SF,0.4444444444444442
Alex Caruso,41.2,33.3,73.4,0.3,1.7,1.9,1.1,0.3,0.8,carusal01,PG,0.4999999999999999
Torrey Craig,46.1,32.6,61.1,1.1,2.2,0.8,0.4,0.6,0.4,craigto01,SF,0.590909090909091
Robin Lopez,49.2,33.3,52.8,0.8,1.6,0.7,0.2,0.7,1.0,lopezro01,C,0.5862068965517242
Pat Connaughton,45.5,33.1,77.5,0.9,3.3,1.6,0.4,0.5,0.8,connapa01,SG,0.6
Mo Bamba,46.2,34.6,67.4,1.6,3.3,0.7,0.4,1.4,0.7,bambamo01,C,0.517241379310345
Sterling Brown,37.1,32.4,80.0,0.6,2.9,1.0,0.6,0.1,0.8,brownst02,SG,0.4347826086956521
Raul Neto,45.5,38.6,83.0,0.2,0.9,1.8,0.4,0.1,0.9,netora01,PG,0.52
Jerome Robinson,37.1,32.0,70.2,0.2,1.8,1.4,0.4,0.3,0.8,robinje01,SG,0.3999999999999999
Isaac Bonga,50.4,35.2,81.2,1.1,2.3,1.2,0.7,0.3,0.9,bongais01,SF,0.5833333333333334
Vince Carter,35.2,30.2,79.3,0.3,1.8,0.8,0.4,0.4,0.6,cartevi01,SG,0.4705882352941177
Cody Martin,43.0,23.4,64.6,0.8,2.5,2.0,0.8,0.2,0.9,martico01,SF,0.5555555555555556
Patrick Patterson,40.8,39.0,81.4,0.6,2.0,0.7,0.1,0.1,0.4,pattepa01,PF,0.5
Jevon Carter,41.6,42.5,85.2,0.5,1.5,1.4,0.8,0.3,0.6,carteje01,PG,0.3529411764705881
Tony Bradley,66.7,100.0,65.2,1.9,2.7,0.4,0.2,0.6,0.5,bradlto01,C,0.6562500000000001
Mario Hezonja,42.2,30.8,81.4,0.6,2.9,0.9,0.7,0.2,0.8,hezonma01,SF,0.4615384615384615
Matisse Thybulle,42.3,35.7,61.0,0.7,1.0,1.2,1.4,0.7,0.8,thybuma01,SG,0.4705882352941177
Thon Maker,48.2,34.4,66.4,0.9,1.9,0.7,0.4,0.7,0.8,makerth01,PF,0.5714285714285715
Ryan Arcidiacono,40.9,39.1,71.1,0.3,1.6,1.7,0.5,0.1,0.6,arcidry01,PG,0.5000000000000001
Treveon Graham,36.0,27.5,64.3,0.9,1.8,0.8,0.4,0.1,0.5,grahatr01,SG,0.4545454545454545
Bruno Fernando,51.8,13.5,56.9,1.2,2.3,0.9,0.3,0.3,0.8,fernabr01,C,0.5862068965517241
Elie Okobo,39.8,35.2,70.4,0.3,1.3,2.1,0.4,0.1,0.7,okoboel01,PG,0.4000000000000001
Terrance Ferguson,35.5,29.2,75.0,0.4,0.9,0.9,0.5,0.3,0.6,fergute01,SG,0.5555555555555555
Anthony Tolliver,35.7,33.8,72.4,0.6,2.2,0.8,0.3,0.2,0.6,tollian01,SF,0.4285714285714286
Grant Williams,41.2,25.0,72.2,0.9,1.7,1.0,0.4,0.5,0.7,willigr01,PF,0.588235294117647
Semi Ojeleye,40.8,37.8,87.5,0.4,1.7,0.5,0.3,0.1,0.3,ojelese01,PF,0.5000000000000001
Rodney McGruder,39.8,27.0,55.9,0.5,2.2,0.6,0.5,0.1,0.4,mcgruro01,SG,0.5625
Goga Bitadze,46.7,19.0,72.7,0.5,1.5,0.4,0.2,0.7,0.5,bitadgo01,C,0.6000000000000001
Matthew Dellavedova,35.4,23.1,86.5,0.3,1.0,3.2,0.4,0.0,1.0,dellama01,SG,0.4666666666666667
